priority,collection_name,contract_address,observed_supply,reason_code,evidence_urls,aliases
P0,RH MACHINES,0x8c71d170fbd94bcba93bb08fc2cfd0e8620cd9ce,9999,EXACT_CONTRACT_IDENTITY_CONFLICT,https://www.btcmachinegg.com/|https://collections.trashbag.fun/,RH MACHINES|RH BTC
P0,Stackers,0x8c646c7d3f9af3afd6cdccd3dc00a01bf2d1298d,2733,EXACT_CONTRACT_IDENTITY_CONFLICT,https://stackers.cash/|https://collections.trashbag.fun/,Stackers|StackersV2
P0,HOOD DOLLS,0xb433123b8657dacf3b246b3e25f8952a0cd2f121,3000,PUBLIC_RECORD_INCOMPLETE,https://opensea.io/collection/hood-dolls,HOOD DOLLS
P0,SAFEMARS BOARDING PASS,0xf885faf151e3362ad1634b7f2f5c43338746fbba,10000,PUBLIC_RECORD_INCOMPLETE,https://opensea.io/collection/safemars-boarding-pass,SAFEMARS BOARDING PASS|SafeMars Boarding Pass
